,Command Sent,Device Name,Port,Response
0,hello,Pippin - Alpha,/dev/ttyUSB0,"unknown command <hello>
Pippi"
1,up,Pippin - Alpha,/dev/ttyUSB0,"sending shade up command
"
2,stop,Pippin - Alpha,/dev/ttyUSB0,"sending shade stop command
"
3,down,Pippin - Alpha,/dev/ttyUSB0,"sending shade down command
"
4,downn 3,Pippin - Alpha,/dev/ttyUSB0,"PippinTest1 rdy>
"
5,get temperature,Pippin - Alpha,/dev/ttyUSB0,"nTmp=27 deg C
PippinTest1 rdy"
